___stockid,stkname,cl,minbw_dte,minbw,sqdays,price,dte,rmk,web,model,flgbasic
1340,F-______,1,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
1402,______,1,'2013/04/16',0.041511473,43,32.6,'2013/09/13',NULL,NULL,'3.1a','N'
1409,______,1,NULL,0,0,9.92,'2013/09/13',NULL,NULL,'5.2','N'
1410,______,1,'2013/03/11',0.036578667,30,20.35,'2013/09/13',NULL,NULL,NULL,'N'
1413,______,1,NULL,0,0,4.02,'2013/09/13',NULL,NULL,NULL,'N'
1414,______,1,NULL,0,0,9.08,'2013/09/13',NULL,NULL,NULL,'N'
1416,______,1,NULL,0,0,15.9,'2013/09/13',NULL,NULL,NULL,'N'
1417,______,1,'2013/02/25',0.031881095,24,8.5,'2013/09/13',NULL,NULL,NULL,'N'
1418,______,1,NULL,0,0,5.79,'2013/09/13',NULL,NULL,NULL,'N'
1419,______,1,NULL,0,0,38.2,'2013/09/13',NULL,NULL,NULL,'N'
1423,______,1,'2013/04/15',0.016098781,77,7.14,'2013/09/13',NULL,NULL,NULL,'N'
1432,_________,1,NULL,0,0,26.4,'2013/09/13',NULL,NULL,NULL,'N'
1434,______,1,NULL,0,0,28.5,'2013/09/13',NULL,NULL,NULL,'N'
1435,______,1,NULL,0,0,5.96,'2013/09/13',NULL,NULL,NULL,'N'
1436,______,1,NULL,0,0,53.7,'2013/09/13',NULL,NULL,NULL,'N'
1437,______,1,NULL,0,0,14.85,'2013/09/13',NULL,NULL,NULL,'N'
1438,______,1,NULL,0,0,5.89,'2013/09/13',NULL,NULL,NULL,'N'
1439,______,1,NULL,0,0,15.2,'2013/09/13',NULL,NULL,'3.1','N'
1440,______,1,NULL,0,0,16.4,'2013/09/13',NULL,NULL,NULL,'N'
1441,______,1,NULL,0,0,9.2,'2013/09/13',NULL,NULL,NULL,'N'
1442,______,1,NULL,0,0,34.35,'2013/09/13',NULL,NULL,'5.2','N'
1443,______,1,NULL,0,0,6.67,'2013/09/13',NULL,NULL,NULL,'N'
1444,______,1,'2013/04/10',0.031823549,30,10.35,'2013/09/13',NULL,NULL,'2.3;5.1','N'
1445,______,1,'2013/03/28',0.01796884,66,7.78,'2013/09/13',NULL,NULL,NULL,'N'
1446,______,1,NULL,0,0,29.2,'2013/09/13',NULL,NULL,'2.3;5.1','N'
1447,______,1,NULL,0,0,13,'2013/09/13',NULL,NULL,'5.2','N'
1449,______,1,NULL,0,0,1.87,'2013/09/13',NULL,NULL,NULL,'N'
1451,______,1,NULL,0,0,27.25,'2013/09/13',NULL,NULL,NULL,'N'
1452,______,1,'2013/02/27',0.013342215,7,9.49,'2013/09/13',NULL,NULL,'5.2','N'
1453,______,1,NULL,0,0,10.5,'2013/09/13',NULL,NULL,NULL,'N'
1454,______,1,'2013/04/26',0.023209691,55,7.34,'2013/09/13',NULL,NULL,NULL,'N'
1455,______,1,NULL,0,0,9.65,'2013/09/13',NULL,NULL,'5.2','N'
1456,______,1,NULL,0,0,3.69,'2013/09/13',NULL,NULL,NULL,'N'
1457,______,1,'2013/03/14',0.024805719,15,7.29,'2013/09/13',NULL,NULL,'5.2','N'
1459,______,1,NULL,0,0,8.13,'2013/09/13',NULL,NULL,'2.3','N'
1460,______,1,NULL,0,0,8.02,'2013/09/13',NULL,NULL,'2.3;3.1','N'
1463,______,1,NULL,0,0,14.05,'2013/09/13',NULL,NULL,NULL,'N'
1464,______,1,NULL,0,0,9.52,'2013/09/13',NULL,NULL,'2.1;5.1','N'
1465,______,1,NULL,0,0,14.05,'2013/09/13',NULL,NULL,NULL,'N'
1466,______,1,NULL,0,0,20,'2013/09/13',NULL,NULL,NULL,'N'
1467,______,1,NULL,0,0,13.8,'2013/09/13',NULL,NULL,NULL,'N'
1468,______,1,'2013/04/26',0.02333207,47,9.98,'2013/09/13',NULL,NULL,NULL,'N'
1469,______,1,NULL,0,0,9.45,'2013/09/13',NULL,NULL,NULL,'N'
1470,_________,1,'2013/09/13',0,0,0,'2013/09/13',NULL,NULL,NULL,'N'
1471,______,1,NULL,0,0,11.8,'2013/09/13',NULL,NULL,NULL,'N'
1472,_________,1,NULL,0,0,18.7,'2013/09/13',NULL,NULL,NULL,'N'
1473,______,1,NULL,0,0,35.3,'2013/09/13',NULL,NULL,'2.3;5.2','N'
1474,______,1,NULL,0,0,8.16,'2013/09/13',NULL,NULL,'2.3;5.2','N'
1475,______,1,'2013/09/13',0,0,0,'2013/09/13',NULL,NULL,NULL,'N'
1476,______,1,NULL,0,0,254.5,'2013/09/13',NULL,NULL,NULL,'N'
1477,______,1,NULL,0,0,149,'2013/09/13',NULL,NULL,'5.1','N'
1503,______,1,NULL,0,0,36.6,'2013/09/13',NULL,NULL,NULL,'N'
1504,______,1,NULL,0,0,31.25,'2013/09/13',NULL,NULL,NULL,'N'
1506,______,1,NULL,0,0,18.5,'2013/09/13',NULL,NULL,'5.1a','N'
1507,______,1,NULL,0,0,78.3,'2013/09/13',NULL,NULL,'5.2','N'
1512,______,1,'2013/02/19',0.031942878,24,7.58,'2013/09/13',NULL,NULL,NULL,'N'
1513,_________,1,NULL,0,0,17,'2013/09/13',NULL,NULL,NULL,'N'
1514,______,1,NULL,0,0,9.1,'2013/09/13',NULL,NULL,'3.1','N'
1515,______,1,NULL,0,0,10.1,'2013/09/13',NULL,NULL,'5.1a','N'
1516,______,1,'2013/09/13',0,0,0,'2013/09/13',NULL,NULL,NULL,'N'
1517,______,1,NULL,0,0,13.35,'2013/09/13',NULL,NULL,'2.1;5.1','N'
1519,______,1,NULL,0,0,14.05,'2013/09/13',NULL,'http://www.wretch.cc/blog/eagle99/11079827',NULL,'N'
1521,______,1,NULL,0,0,49.1,'2013/09/13',NULL,NULL,NULL,'N'
1522,_________,1,NULL,0,0,16.6,'2013/09/13',NULL,NULL,NULL,'N'
1523,______,1,NULL,0,0,33.65,'2010/08/19',NULL,NULL,NULL,'X'
1524,______,1,NULL,0,0,7.93,'2013/09/13',NULL,NULL,'3.1','N'
1525,______,1,NULL,0,0,41.6,'2013/09/13',NULL,NULL,'5.2','N'
1526,______,1,NULL,0,0,7.98,'2013/09/13',NULL,NULL,NULL,'N'
1527,______,1,NULL,0,0,33.1,'2013/09/13',NULL,NULL,NULL,'N'
1528,______,1,NULL,0,0,14.5,'2013/09/13',NULL,NULL,'5.2','N'
1529,______,1,NULL,0,0,2.76,'2013/09/13',NULL,NULL,'5.1','N'
1530,______,1,NULL,0,0,29.3,'2013/09/13',NULL,NULL,NULL,'N'
1531,_________,1,NULL,0,0,23.8,'2013/09/13',NULL,NULL,'5.1','N'
1532,______,1,NULL,0,0,42.3,'2013/09/13',"'_________1532_____________________16.65____________0.05____________________________________________________________3,805_______________12____________________________________________________________________________________________________________________________________
________________________________________________________________________________________________________________________7______'",NULL,'3.1','N'
1533,_________,1,NULL,0,0,24.7,'2013/09/13',NULL,NULL,NULL,'N'
1535,______,1,NULL,0,0,76.9,'2013/09/13',NULL,NULL,'4.2a;5.2','N'
1536,______,1,NULL,0,0,43.85,'2013/09/13',NULL,NULL,NULL,'N'
1537,______,1,NULL,0,0,81.2,'2013/09/13',NULL,NULL,'5.1','N'
1538,_________,1,NULL,0,0,11.6,'2013/09/13',NULL,NULL,NULL,'N'
1539,______,1,NULL,0,0,14.15,'2013/09/13',NULL,NULL,NULL,'N'
1540,______,1,NULL,0,0,17.55,'2013/09/13',NULL,NULL,'4.2a','N'
1541,______,1,NULL,0,0,12.3,'2013/09/13',NULL,NULL,NULL,'N'
1558,______,2,NULL,0,0,144,'2013/09/13',NULL,NULL,'5.1','N'
1560,______,1,NULL,0,0,61,'2013/09/13',NULL,NULL,'3.1','N'
1565,______,2,NULL,0,0,831,'2013/09/13',NULL,NULL,'4.2','N'
1566,______,2,NULL,0,0,25.35,'2013/09/13',NULL,NULL,NULL,'N'
1568,______,1,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
1569,______,2,NULL,0,0,26.15,'2013/09/13',NULL,NULL,'5.1a','N'
1570,______,2,NULL,0,0,13.45,'2013/09/13',NULL,NULL,NULL,'N'
1580,______,2,NULL,0,0,122,'2013/09/13',NULL,NULL,NULL,'N'
1582,______,2,NULL,0,0,50.6,'2013/09/13',NULL,NULL,NULL,'N'
1583,______,1,NULL,0,0,39.85,'2013/09/13',NULL,NULL,NULL,'N'
1584,______,2,NULL,0,0,14.4,'2013/09/13',NULL,NULL,NULL,'N'
1586,______,2,NULL,0,0,19.95,'2013/09/13',NULL,NULL,NULL,'N'
1589,F-______,1,'2013/04/03',0.045098273,49,59.5,'2013/09/13',NULL,NULL,NULL,'N'
1590,AIRTAC,1,NULL,0,0,204,'2013/09/13',NULL,NULL,NULL,'N'
1591,F-______,2,NULL,0,0,32.9,'2013/09/13',NULL,NULL,NULL,'N'
1592,F-______,1,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
1593,______,2,NULL,0,0,26.15,'2013/09/13',NULL,NULL,NULL,NULL
1595,______,2,NULL,0,0,70.3,'2013/09/13',NULL,NULL,NULL,'N'
1597,______,2,NULL,0,0,51.5,'2013/09/13',NULL,NULL,NULL,NULL
1599,_________,2,NULL,0,0,45.1,'2013/09/13',NULL,NULL,NULL,NULL
1603,______,1,'2013/03/12',0.03184195,25,12.85,'2013/09/13',NULL,NULL,NULL,'N'
1604,______,1,'2013/02/25',0.015159169,44,9.65,'2013/09/13',NULL,NULL,'2.3;3.1','N'
1605,______,1,NULL,0,0,8.96,'2013/09/13','_________________________________//5.3aSTAN_______________(______40___) AND 2.2________________________ AND 5.1a_____________________+KD+MACD',NULL,'5.2','N'
